,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
77,1528998,Yumen,6,cn,1559667158,18,40.29,97.04,72.92,9.08
78,342190,Bichena,97,et,1559667371,60,10.45,38.2,60.68,3.85
79,3572627,Cockburn Town,31,bs,1559667372,75,24.03,-74.52,81.2,8.16
80,3863379,Mar del Plata,100,ar,1559667370,41,-46.43,-67.52,61.04,20.24
81,935215,Saint-Philippe,20,re,1559667372,60,-21.36,55.77,73.4,26.4
82,6078372,Moose Factory,37,ca,1559667132,52,51.26,-80.61,52.58,17.96
83,3996893,Caborca,0,mx,1559667372,31,30.58,-111.1,82.99,5.01
84,1282256,Hithadhoo,100,mv,1559667373,79,-0.6,73.08,84.8,9.53
85,3374210,Sao Filipe,12,cv,1559667124,84,14.9,-24.5,74.36,13.35
86,4020109,Atuona,17,pf,1559667373,76,-9.8,-139.03,82.64,20.02
87,4031574,Provideniya,75,ru,1559667373,90,64.42,-173.23,41.78,2.37
88,2123814,Leningradskiy,94,ru,1559667373,93,69.38,178.42,38.54,4.03
89,964420,Port Elizabeth,99,za,1559667344,87,-33.92,25.57,63.2,6.35
90,1106677,Bambous Virieux,40,mu,1559667374,68,-20.34,57.76,71.6,18.34
91,3366880,Hermanus,100,za,1559667374,87,-34.42,19.24,60.01,3.0
92,2074865,Carnarvon,11,au,1559667374,34,-24.87,113.63,51.8,10.29
93,5972762,Hay River,75,ca,1559667146,81,60.82,-115.79,42.8,11.41
94,3471451,Arraial do Cabo,75,br,1559667374,69,-22.97,-42.02,73.4,23.04
95,693010,Sribne,52,ua,1559667375,88,50.66,32.92,67.88,9.46
96,3892870,Curico,0,cl,1559667375,58,-34.98,-71.23,59.0,5.82
97,2032614,Baruun-Urt,0,mn,1559667375,56,46.68,113.28,45.02,10.38
98,241131,Victoria,20,sc,1559667375,74,-4.62,55.45,82.4,10.29
99,5848280,Kapaa,40,us,1559667376,88,22.08,-159.32,75.0,16.11
100,1018725,Bloemfontein,0,za,1559667376,28,-29.12,26.22,59.6,9.08
101,5146711,Beachwood,40,us,1559667376,43,41.46,-81.51,73.99,9.17
102,3443061,Chuy,0,uy,1559667377,50,-33.69,-53.46,60.86,4.18
103,2070998,Geraldton,9,au,1559667377,39,-28.77,114.6,48.2,5.82
104,6320062,Vila Velha,40,br,1559667377,62,-3.71,-38.6,87.8,17.22
105,5992836,Kirkland Lake,75,ca,1559667377,36,48.15,-80.03,62.6,14.99
106,3372707,Ribeira Grande,75,pt,1559667351,49,38.52,-28.7,68.0,17.22
107,3698359,Chicama,90,pe,1559667377,82,-7.84,-79.15,68.0,11.41
108,580676,Asekeyevo,1,ru,1559667378,77,53.57,52.8,51.68,8.59
109,2163355,Hobart,20,au,1559667171,75,-42.88,147.33,43.0,8.05
110,2411397,Georgetown,100,sh,1559667378,79,-7.93,-14.42,78.32,17.09
111,3448455,Sao Miguel do Araguaia,10,br,1559667378,37,-13.28,-50.16,91.46,5.39
112,1300466,Bago,75,mm,1559667378,94,17.34,96.48,78.8,2.24
113,3883457,Lebu,100,cl,1559667379,96,-37.62,-73.65,56.36,22.97
114,2255285,Sibiti,98,cg,1559667379,68,-3.69,13.35,74.54,1.9
115,3420846,Qaqortoq,20,gl,1559667379,50,60.72,-46.03,57.2,9.17
116,1263751,Mangrol,2,in,1559667379,11,25.33,76.51,105.5,8.86
117,921900,Dzaoudzi,40,yt,1559667380,83,-12.79,45.27,78.8,10.29
118,6324729,Halifax,75,ca,1559667324,63,44.65,-63.58,63.0,5.82
119,3695000,Mancora,0,pe,1559667380,290,-4.1,-81.05,62.6,17.22
120,2038067,Chifeng,0,cn,1559667380,54,42.27,118.96,55.64,8.55
121,608872,Makat,50,kz,1559667380,31,47.65,53.35,72.38,21.59
122,3156980,Floro,75,no,1559667381,76,61.6,5.03,55.99,21.92
123,5964401,Grand Forks,22,ca,1559667381,27,49.03,-118.46,66.99,8.01
124,2270385,Camacha,20,pt,1559667083,73,33.08,-16.33,75.2,18.34
125,6185377,Yellowknife,75,ca,1559667381,87,62.45,-114.38,44.6,6.93
126,1783956,Yatou,100,cn,1559667381,91,33.81,104.32,44.66,5.3
127,1258484,Rangpo,75,in,1559667381,74,27.17,88.53,82.4,4.7
128,2145554,Ulladulla,40,au,1559667382,76,-35.36,150.48,52.0,13.87
129,2155415,New Norfolk,20,au,1559667382,75,-42.78,147.06,43.0,8.05
130,1270407,Hanumangarh,9,in,1559667382,13,29.58,74.33,102.98,4.99
131,496285,Severodvinsk,90,ru,1559667382,100,64.56,39.82,50.0,6.71
132,4398103,Mexico,1,us,1559667383,65,39.17,-91.88,80.01,14.99
133,2152668,Portland,32,au,1559667383,93,-33.35,149.98,44.01,10.6
134,2036502,Jilin,14,cn,1559667383,92,43.84,126.54,57.8,4.83
135,3390280,Rio Tinto,75,br,1559667383,70,-6.8,-35.08,86.0,13.87
136,1252783,Yarada,20,in,1559667383,84,17.65,83.27,86.0,5.82
137,878054,Masuguru,0,tz,1559667384,51,-11.37,38.42,71.48,2.59
138,3573061,Saint George,20,bm,1559667384,78,32.38,-64.68,75.2,11.41
139,542769,Krasnaya Gorka,5,ru,1559667384,64,55.19,56.67,48.8,11.12
140,2121385,Severo-Kurilsk,99,ru,1559667385,96,50.68,156.12,42.14,10.02
141,2524245,Marsala,0,it,1559667385,53,37.8,12.44,77.0,9.17
142,2126199,Cherskiy,0,ru,1559667372,68,68.75,161.3,31.16,13.98
143,1039536,Maxixe,0,mz,1559667303,88,-23.86,35.35,63.38,3.85
144,3355672,Luderitz,0,na,1559667385,93,-26.65,15.16,53.6,16.11
145,2630299,Hofn,100,is,1559667356,85,64.25,-15.21,31.88,23.38
146,53654,Mogadishu,100,so,1559667386,77,2.04,45.34,78.86,12.88
147,2065594,Mount Isa,100,au,1559667386,39,-20.73,139.49,50.0,10.29
148,2098329,Daru,100,pg,1559667386,93,-9.07,143.21,75.8,9.55
149,2110227,Butaritari,92,ki,1559667386,80,3.07,172.79,83.36,16.02
150,2112802,Hasaki,75,jp,1559667387,100,35.73,140.83,66.2,3.36
151,1831167,Kampong Chhnang,100,kh,1559667387,74,12.25,104.67,83.72,6.71
152,692866,Stara Synyava,100,ua,1559667387,90,49.6,27.62,64.82,7.47
153,3430443,Necochea,79,ar,1559667387,72,-38.55,-58.74,64.0,15.01
154,2121025,Srednekolymsk,34,ru,1559667387,54,67.46,153.71,35.84,13.06
155,3403127,Capitao Poco,37,br,1559667388,72,-1.75,-47.06,87.86,5.03
156,1486910,Komsomolskiy,100,ru,1559667388,95,67.55,63.78,28.28,7.54
157,7671223,Kloulklubed,90,pw,1559667388,94,7.04,134.26,77.0,8.05
158,3456160,Olinda,75,br,1559667388,54,-22.82,-43.41,78.8,17.22
159,2436400,Ati,99,td,1559667388,21,13.21,18.34,103.7,2.26
160,1852357,Shimoda,98,jp,1559667389,83,34.7,138.93,67.52,1.83
161,2128975,Nemuro,95,jp,1559667389,93,43.32,145.57,50.06,10.11
162,315621,Emirdag,2,tr,1559667389,47,39.02,31.15,64.64,8.28
163,2208248,Kaitangata,49,nz,1559667389,76,-46.28,169.85,39.99,5.01
164,3831208,Qaanaaq,71,gl,1559667364,88,77.48,-69.36,28.1,2.84
165,3361934,Saldanha,100,za,1559667390,94,-33.01,17.94,62.66,24.52
166,5367788,Lompoc,90,us,1559667117,93,34.64,-120.46,59.0,6.42
167,3985710,Cabo San Lucas,5,mx,1559667137,61,22.89,-109.91,82.0,3.36
168,214614,Kamina,97,cd,1559667390,43,-8.74,25.0,65.0,3.0
169,3933104,Pangoa,35,pe,1559667390,43,-12.12,-73.0,84.98,5.88
170,3356264,Keetmanshoop,0,na,1559667391,8,-26.57,18.15,84.2,6.93
171,1491719,Sladkovo,100,ru,1559667395,93,55.53,70.34,58.34,12.82
172,2186111,Ngunguru,98,nz,1559667396,95,-35.62,174.5,59.0,25.5
173,2316473,Bosobolo,100,cd,1559667396,63,4.19,19.88,81.2,2.86
174,3848950,La Rioja,61,ar,1559667383,52,-29.41,-66.86,61.94,7.31
175,4252975,Barrow,1,us,1559667396,60,39.51,-90.4,80.01,12.75
176,2158562,Maryborough,0,au,1559667396,69,-25.54,152.7,46.46,4.0
177,2508813,Adrar,0,dz,1559667397,8,27.87,-0.29,105.8,10.29
178,3662342,Sao Gabriel da Cachoeira,75,br,1559667397,88,-0.13,-67.09,78.8,5.82
179,5924351,Clyde River,5,ca,1559667397,61,70.47,-68.59,46.4,9.17
180,2255542,Owando,70,cg,1559667397,61,-0.49,15.91,81.56,1.59
181,1259385,Port Blair,94,in,1559667349,77,11.67,92.75,85.52,6.98
182,1865309,Katsuura,75,jp,1559667398,83,33.93,134.5,73.0,10.29
183,3685223,Dibulla,40,co,1559667398,59,11.27,-73.31,93.2,11.41
184,64435,Berbera,100,so,1559667398,71,10.44,45.01,90.92,2.46
185,2012530,Zhigansk,77,ru,1559667398,57,66.77,123.37,55.82,8.28
186,3006767,La Roche-sur-Yon,75,fr,1559667398,68,46.67,-1.43,66.99,16.11
187,2127060,Arman,94,ru,1559667399,86,59.7,150.17,48.62,0.22
188,113491,Takestan,0,ir,1559667399,28,36.07,49.69,80.6,2.24
189,2219235,Awbari,51,ly,1559667399,22,26.59,12.77,92.0,11.5
190,2189343,Kaeo,97,nz,1559667399,95,-35.1,173.78,59.0,20.09
191,556268,Ostrovnoy,100,ru,1559667400,79,68.05,39.51,45.2,17.85
192,518643,Novoleushkovskaya,64,ru,1559667400,82,45.99,39.99,73.46,6.17
193,6126749,Rocky Mountain House,63,ca,1559667369,47,52.38,-114.92,60.68,9.64
194,1507390,Dikson,100,ru,1559667400,98,73.51,80.55,33.86,10.85
195,2018553,Olga,100,ru,1559667400,99,43.74,135.29,49.34,0.98
196,2094027,Kieta,60,pg,1559667401,74,-6.22,155.63,82.64,6.08
197,561347,Glazov,0,ru,1559667313,62,58.14,52.65,46.46,6.33
198,1529484,Hami,79,cn,1559667401,16,42.84,93.51,75.98,14.14
199,3472518,Almirante Tamandare,20,br,1559667323,44,-25.32,-49.31,66.99,9.17
200,238373,Kembe,100,cf,1559667402,90,4.62,21.89,73.46,4.0
201,2126123,Chokurdakh,0,ru,1559667402,79,70.62,147.9,31.88,4.41
202,2221053,Wum,84,cm,1559667402,91,6.39,10.08,71.12,2.19
203,2038087,ChengDe,83,cn,1559667402,88,40.97,117.93,58.34,2.19
204,1165057,Shinpokh,40,pk,1559667402,35,34.33,71.18,86.0,11.41
205,1651531,Ambon,95,id,1559667403,83,-3.7,128.18,80.12,14.7
206,4234985,Cairo,40,us,1559667403,54,37.01,-89.18,82.99,8.05
207,3622537,Parrita,40,cr,1559667403,57,9.52,-84.33,82.4,10.29
208,1264700,Lunavada,0,in,1559667403,49,23.13,73.61,93.26,15.17
209,2036581,Jiamusi,0,cn,1559667404,82,46.81,130.37,55.64,3.53
210,108410,Riyadh,0,sa,1559667359,5,24.63,46.72,98.6,12.75
211,2218840,Bani Walid,0,ly,1559667404,30,31.76,14.0,76.52,15.5
212,1264976,Leh,43,in,1559667199,52,34.16,77.58,32.06,5.28
213,545353,Zarechnyy,100,ru,1559667404,69,60.99,40.4,63.74,6.76
214,2025630,Chara,97,ru,1559667404,87,56.9,118.26,42.86,0.29
215,3662761,Porto Walter,1,br,1559667405,50,-8.27,-72.74,88.22,5.19
216,1015776,Bredasdorp,100,za,1559667405,87,-34.53,20.04,60.01,3.0
217,2399001,Mayumba,20,ga,1559667405,87,-3.44,10.65,74.9,8.5
218,3421765,Nanortalik,37,gl,1559667405,73,60.14,-45.24,41.06,8.93
